OrderNumber,CustomerCode,OrderDate,RequiredDate,SalesPersonCode,ShippingMethod,PaymentTerms,Status,Priority,TotalAmount,Tax,Currency,BillingAddress,ShippingAddress
SO20250820001,CUST0076,2025-08-06,2025-08-26,SALES004,Freight,Wire Transfer,On Hold,High,2482.74,146.04,CAD,1480 Washington St Generic City WA 65236,650 Corporate Blvd Buffalo NY 88386
SO20250820002,CUST0046,2025-08-19,2025-08-21,SALES005,2-Day,NET30,Delivered,High,2151.22,159.35,CAD,9331 Washington Dr Tampa FL 87101,9331 Washington Dr Tampa FL 87101
SO20250820003,CUST0076,2025-08-15,2025-09-01,SALES001,Pickup,NET15,Delivered,Normal,4983.02,379.77,CAD,5328 Oak Dr Generic City VA 76664,5328 Oak Dr Generic City VA 76664
SO20250820004,CUST0322,2025-08-04,2025-08-28,SALES006,Pickup,COD,Open,Low,1060.95,78.59,USD,814 Park St Dallas TX 17863,814 Park St Dallas TX 17863
SO20250820005,CUST0109,2025-07-31,2025-08-23,SALES006,Freight,Wire Transfer,On Hold,Urgent,5035.54,373.0,CAD,9136 Second St Generic City OH 72840,9136 Second St Generic City OH 72840
SO20250820006,CUST0337,2025-08-11,2025-08-28,SALES001,Express,NET45,Shipped,Urgent,1231.3,91.21,CAD,8756 First St Generic City PA 53802,8756 First St Generic City PA 53802
SO20250820007,CUST0211,2025-07-28,2025-08-24,SALES006,Ground,COD,Shipped,Urgent,1702.3700000000001,100.14,EUR,8287 Second Rd Generic City PA 98423,8287 Second Rd Generic City PA 98423
SO20250820008,CUST0361,2025-07-25,2025-08-30,SALES006,Freight,COD,Shipped,Urgent,276.05,19.26,EUR,5257 Oak Ave Jacksonville FL 84628,8551 Business Ave Generic City VA 21570
SO20250820009,CUST0005,2025-08-02,2025-08-23,SALES003,Express,NET45,Open,High,1959.8,161.82,EUR,7524 Elm Ave Generic City PA 40127,7524 Elm Ave Generic City PA 40127
SO20250820010,CUST0212,2025-08-19,2025-08-25,SALES002,2-Day,NET30,Delivered,High,364.3,30.08,CAD,1369 Oak Dr Fort Worth TX 30349,1369 Oak Dr Fort Worth TX 30349
SO20250820011,CUST0287,2025-08-16,2025-08-22,SALES001,Freight,NET30,Shipped,Normal,4802.93,335.09,EUR,6150 Main St Buffalo NY 98304,6150 Main St Buffalo NY 98304
SO20250820012,CUST0479,2025-08-11,2025-08-30,SALES007,Express,Credit Card,Shipped,Low,4399.28,363.24,CAD,991 Park Dr Tallahassee FL 80581,8272 Corporate Dr Generic City NJ 91749
SO20250820013,CUST0013,2025-08-19,2025-08-28,SALES003,2-Day,NET45,Delivered,Urgent,2070.96,153.4,EUR,7168 Elm St Generic City NC 99129,3546 Warehouse Dr Generic City NJ 76264
SO20250820014,CUST0082,2025-07-23,2025-08-31,SALES006,Pickup,NET15,Closed,High,3150.84,233.4,EUR,9453 Second Ave Generic City OH 59414,9453 Second Ave Generic City OH 59414
SO20250820015,CUST0385,2025-07-24,2025-08-23,SALES004,Express,NET45,Delivered,Normal,1364.03,101.04,EUR,8952 Washington Rd Generic City AZ 31711,8952 Washington Rd Generic City AZ 31711
SO20250820016,CUST0029,2025-07-28,2025-08-31,SALES005,Overnight,NET30,Processing,Normal,3472.95,264.68,CAD,853 First St Generic City OH 49093,853 First St Generic City OH 49093
SO20250820017,CUST0381,2025-08-08,2025-08-22,SALES001,Overnight,Credit Card,Delivered,Normal,4142.95,342.08,EUR,2875 First Blvd Generic City NC 89176,4127 Warehouse Blvd Chicago IL 20929
SO20250820018,CUST0267,2025-07-21,2025-08-27,SALES006,Overnight,NET15,Processing,High,308.35999999999996,25.46,EUR,1762 Park Ave Tampa FL 81362,1762 Park Ave Tampa FL 81362
SO20250820019,CUST0203,2025-08-02,2025-09-01,SALES004,2-Day,COD,Delivered,Low,3488.1,243.36,CAD,9128 Washington St Generic City GA 21935,2720 Commerce St Generic City MA 60535
SO20250820020,CUST0111,2025-08-17,2025-08-29,SALES006,Express,NET15,Open,Normal,3154.3599999999997,233.66,USD,3292 Oak Dr Miami FL 93513,4869 Commerce Rd Miami FL 82523
SO20250820021,CUST0091,2025-08-18,2025-08-23,SALES008,Ground,NET30,Processing,Low,2598.17,152.83,USD,5796 Park St Syracuse NY 42097,5796 Park St Syracuse NY 42097
SO20250820022,CUST0396,2025-08-06,2025-08-28,SALES006,Overnight,Credit Card,Cancelled,Low,3730.25,219.43,EUR,7684 Second Blvd Generic City MI 37861,5161 Warehouse Ave Rochester NY 43708
